#TAG_ORGAO_SUPERIOR: SECRETARIA DE REGIME GERAL DE PREVIDÊNCIA SOCIAL
#TAG_ORGAO: DEPARTAMENTO DE PERÍCIA MÉDICA FEDERAL
#TAG_TIPO_DOCUMENTO: PORTARIA
#TAG_IDENTIFICACAO: PORTARIA DPMF/SRGPS/MPS No 1.424
#TAG_DATA: 7 DE JUNHO DE 2025
#TAG_EMENTA: Divulga as unidades de atendimento em que foram ofertadas perícias médicas por telemedicina, autorizadas pela Lei n.o 14.724, de 14 de novembro de 2024.
#TAG_CORPO:
O DIRETOR DO DEPARTAMENTO DE PERÍCIA MÉDICA FEDERAL SUBSTITUTO, no uso das atribuições que lhe confere o art. 16, do Anexo I, do Decreto no 11.356, de 1º de janeiro de 2023, e o art. 2º inciso II, da Portaria SRGPS/MPS no 2.084, de 2 de julho de 2024, resolve:

Art. 1º Divulgar as unidades de atendimento em que foram ofertadas perícias médicas por telemedicina, 227 unidades, no período de 05 de abril de 2025 a 04 de julho de 2025, autorizadas pela Lei no 14.724, de 14 de novembro de 2024, na forma do seu Anexo.

Art. 2º. Esta Portaria entra em vigor na data de sua publicação.
#TAG_ASSINATURA: ÁLVARO FRIDERICHS FAGUNDES
#TABELA: ANEXO I
estado,municipio,unidade
AL,UNIÃO DOS PALMARES,APS UNIÃO DOS PALMARES
AL,SÃO JOSÉ DA TAPERA,APS SÃO JOSÉ DA TAPERA
AM,ITACOATIARA,APS ITACOATIARA
AM,MANAUS,APS MANAUS - CENTRO
AM,MANACAPURU,APS MANACAPURU
AM,PRESIDENTE FIGUEIREDO,APS PRESIDENTE FIGUEIREDO
AM,IRANDUBA,APS IRANDUBA
AM,BENJAMIN CONSTANT,APS BENJAMIN CONSTANT
AP,MACAPÁ,APS MACAPÁ
AP,LARANJAL DO JARI,APS LARANJAL DO JARI
AP,OIAPOQUE,APS OIAPOQUE
BA,ESPLANADA,APS ESPLANADA
BA,POJUCA,APS POJUCA
BA,MUNDO NOVO,APS MUNDO NOVO
BA,SERRINHA,APS SERRINHA
BA,RUY BARBOSA,APS RUY BARBOSA
BA,AMARGOSA,APS AMARGOSA
BA,POÇÕES,APS POÇÕES
BA,ITORORÓ,APS ITORORÓ
BA,CACULÉ,APS CACULÉ
BA,EUNÁPOLIS,APS EUNÁPOLIS
BA,ITABUNA,APS ITABUNA
BA,GANDU,APS GANDU
BA,EUCLIDES DA CUNHA,APS EUCLIDES DA CUNHA
BA,TUCANO,APS TUCANO
BA,SOBRADINHO,APS SOBRADINHO
